agent,seed,n,message,decoded message,score
7,677457,30,Adal Raywood Beggs Rendy Browns Crystalynn Janet Stacey Pennville Wesco Rochert Keeley,PARTIAL: Otis Otis Otis Otis Otis Katiria Derika Zana Murfreesboro Cortemadera Tameika Bud,0
7,677457,30,Ger Reklaw Floyddale Frankville Rifton Matherville,Manika Mareo Amelie Sherwin Miramonte Trixie,0
7,677457,30,Lennie Isabella Clontarf Wevertown Irrigon Vaughan McAlpin Dagmar Chaim Peri Latoria Hari Tiron Sunshine Placitas Wendie Chaska Akeila Pruden Herschel,PARTIAL: Otis Otis Otis Otis Otis Rosholt Waylon Waterville Blocker Tornillo Enderlin Annaliisa,0
7,677457,30,Dusti Maloy Friedens Dallardsville Shedd Keno Inkom Jermanie,PARTIAL: Otis Eder Parks Breianna Viborg Jaleel Burkeville Dekota,0
7,677457,30,Lynnfield Nanticoke Dorr Ilse Kellyton Blodgett Buckley Camarillo Koloa Arcata Jackson Kerin Justene Hawi Sharra Fishkill Tasheema Hopedale Buskirk Dayville Sherrita Denio,PARTIAL: Otis Otis Otis Otis Otis Wacey Victoria Orefield Holt Mayleen Farzad Dujuan,0
7,677457,30,Latham Adlai Knightsen Piercy Robinsonville Aneshia Punxsutawney Indea Toccara Fessenden Kenisha Reshawn Ackworth Landrum Rexmont Azle,PARTIAL: Otis Otis Otis Otis Otis Chanielle Penitas Zachary Cannonsburg Littleport Aleisa Sharity,0
7,677457,30,Jams Kody Ellisville Natalia Barryton Marlenne Wathena Shaunita Ledyard Cuttyhunk Maire Cassandre Dary Karolina Graycourt Agnes Francitas Greenview Rishawn Tabiona,PARTIAL: Otis Otis Otis Otis Otis Cacia Ventress Renny Joshuia Charlynn Shullsburg Englishtown,0
7,677457,30,Batchelor Beret Sam Sabria Kamuela Gianina Pillager Ashlley Winnetoon Cohasset Buckholts Purcellville Benicia Cottekill Suhail Churubusco,PARTIAL: Otis Otis Otis Otis Reannon Aziza Sanya Juventino Sena Lostine Lilydale Tye,0
7,677457,30,Wenonah Mandy Moville Laytonville Nickisha Gretta Charday,Millerville Paauhau Pricila Pinar Song Jenesa Bonifacio,0
7,677457,30,Carona Dutzow Kandiss Cliff Glenside Laural Bethera Richland Neligh Dezmond Keyapaha Minatare Shreya Terlingua Tzipporah Davidsonville Majorie,PARTIAL: Otis Otis Otis Otis Otis Nicki Adrianna Caralynn Lidgerwood Ikeem Dalana Kianna,0
7,677457,30,Blima Joelene Macario Daran Shaquanta Lewisport Marcellous Ronks Elkhorn Brendy Edmond Gueydan Kirk Zeus Gowen Dezirae Taneeka Griffithville Benham,PARTIAL: Otis Otis Otis Otis Otis Maris Demetria McMinnville Ivonne Steward Christel Dearing,0
7,677457,30,Kellis Geoffry Pheba Taintor Chae Highlandville Changewater Gardners Jasmyn Denia Woodville Lickingville Zalmen Glenlyn Kwana Speonk Steelville,PARTIAL: Otis Otis Otis Otis Aiden Matthias Mascoutah Spearman Raymont Jamail Keundra Ronn,0
7,677457,30,Ramond Vien Tamira Chennell Lamar Quintel Cherrylog Conard Hagerman Armington Brentwood Westley,PARTIAL: Otis Otis Otis Otis Otis Cortez Emilly Dam Bartolo Byrnedale Emerald Lavale,0
7,677457,30,Konica Stroh Omena Trementina,Konica Stroh Omena Trementina,1
7,677457,30,Javarus Brodnax Poultney,Javarus Brodnax Poultney,1
7,677457,30,Raeann Rew Kathlene Cantril Kaili Flagtown Brandun Caris Trespinos Alandra Capitan Corapeake Cookeville Naper Ligon,PARTIAL: Otis Otis Otis Otis Otis Goetzville Dashell Andrianna Laresa Vicent Leontyne Cade,0
7,677457,30,Reasnor Kamil Romar Venita Georganne Mitchells Casimir Vergas Bushwood Fajardo Springhope Trussville Hershel Kendyll,PARTIAL: Otis Otis Otis Otis Otis Yoko Quapaw Broughton Flasher Tabiona Natonya Munir,0
7,677457,30,Bodfish Julian Islesford Marblehead Lirio Lafitte Quintell Sigel Biran Rexmont Charly,PARTIAL: Otis Otis Otis Otis Raphaela Killbuck Johnanna Chace Yobani Janesha Fruitvale,0
7,677457,30,Bela Dumont Arvin Johm Lille Jermy Jenea Redrock Washta Bellefonte Phoenix Silena Geoff Alnisa Dighton Daylon Salman Unionville Tilleda Strandburg Talin Lowville Clinchfield,PARTIAL: Otis Otis Otis Otis Tarel Lebron Doron Taran Shanda Barnardsville Sharah Woonsocket,0
7,677457,30,Yitzchok Sturtevant Teja Ralston Chawn Birchtree Sarkis,Blaise Audley Fontanelle Eriberto Clent Poughquag Denicia,0
7,677457,30,Darius Secor Joslynn Ayde Octavius Andrika Antoinette Padroni Comins Jacoby Hardeeville Ilse Avenal Tarnisha Gustav Riderwood Swiftown Naja,PARTIAL: Otis Otis Otis Otis Otis Churdan Anquinette Partlow Sabreena Bloxom Boxelder Hankamer,0
7,677457,30,Bolivar Cinda Lucie,Bolivar Cinda Lucie,1
